01:32:40,831 INFO SeBS-6b5f: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/640.video-processing-otel
01:32:41,157 INFO OpenWhisk.Resources-6348: Using user-provided configuration of storage for OpenWhisk.
01:32:41,158 INFO OpenWhisk-cf5b: Using existing resource name: fd5e1ae0.
01:32:41,160 INFO Benchmark-726d: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
02:28:59,533 INFO Experiment.PerfCost-3479: Processed 2410 samples out of 10000, 0 errors
02:29:11,858 INFO Experiment.PerfCost-3479: Processed 2420 samples out of 10000, 0 errors
02:29:25,555 INFO Experiment.PerfCost-3479: Processed 2430 samples out of 10000, 0 errors
02:29:39,284 INFO Experiment.PerfCost-3479: Processed 2440 samples out of 10000, 0 errors
02:29:53,11 INFO Experiment.PerfCost-3479: Processed 2450 samples out of 10000, 0 errors
02:30:06,784 INFO Experiment.PerfCost-3479: Processed 2460 samples out of 10000, 0 errors
02:30:20,560 INFO Experiment.PerfCost-3479: Processed 2470 samples out of 10000, 0 errors
02:30:34,312 INFO Experiment.PerfCost-3479: Processed 2480 samples out of 10000, 0 errors
02:30:46,591 INFO Experiment.PerfCost-3479: Processed 2490 samples out of 10000, 0 errors
02:31:00,297 INFO Experiment.PerfCost-3479: Processed 2500 samples out of 10000, 0 errors
02:31:14,60 INFO Experiment.PerfCost-3479: Processed 2510 samples out of 10000, 0 errors
02:31:27,833 INFO Experiment.PerfCost-3479: Processed 2520 samples out of 10000, 0 errors
02:31:41,589 INFO Experiment.PerfCost-3479: Processed 2530 samples out of 10000, 0 errors
02:31:55,334 INFO Experiment.PerfCost-3479: Processed 2540 samples out of 10000, 0 errors
02:32:09,88 INFO Experiment.PerfCost-3479: Processed 2550 samples out of 10000, 0 errors
