00:50:29,207 INFO SeBS-4606: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing
00:50:29,553 INFO OpenWhisk.Resources-ca32: Using user-provided configuration of storage for OpenWhisk.
00:50:29,553 INFO OpenWhisk-d0ba: Using existing resource name: 91d37410.
00:50:29,646 INFO Benchmark-6d75: Building benchmark 221.video-processing. Reason: no cached code package.
01:39:44,763 INFO Experiment.PerfCost-bfba: Processed 2360 samples out of 10000, 0 errors
01:39:57,248 INFO Experiment.PerfCost-bfba: Processed 2370 samples out of 10000, 0 errors
01:40:09,696 INFO Experiment.PerfCost-bfba: Processed 2380 samples out of 10000, 0 errors
01:40:22,61 INFO Experiment.PerfCost-bfba: Processed 2390 samples out of 10000, 0 errors
01:40:34,463 INFO Experiment.PerfCost-bfba: Processed 2400 samples out of 10000, 0 errors
01:40:46,824 INFO Experiment.PerfCost-bfba: Processed 2410 samples out of 10000, 0 errors
01:40:59,249 INFO Experiment.PerfCost-bfba: Processed 2420 samples out of 10000, 0 errors
01:41:11,537 INFO Experiment.PerfCost-bfba: Processed 2430 samples out of 10000, 0 errors
01:41:23,928 INFO Experiment.PerfCost-bfba: Processed 2440 samples out of 10000, 0 errors
01:41:36,372 INFO Experiment.PerfCost-bfba: Processed 2450 samples out of 10000, 0 errors
01:41:48,717 INFO Experiment.PerfCost-bfba: Processed 2460 samples out of 10000, 0 errors
01:42:01,124 INFO Experiment.PerfCost-bfba: Processed 2470 samples out of 10000, 0 errors
01:42:13,600 INFO Experiment.PerfCost-bfba: Processed 2480 samples out of 10000, 0 errors
01:42:25,960 INFO Experiment.PerfCost-bfba: Processed 2490 samples out of 10000, 0 errors
01:42:38,364 INFO Experiment.PerfCost-bfba: Processed 2500 samples out of 10000, 0 errors
01:42:50,829 INFO Experiment.PerfCost-bfba: Processed 2510 samples out of 10000, 0 errors
01:43:03,227 INFO Experiment.PerfCost-bfba: Processed 2520 samples out of 10000, 0 errors
01:43:15,548 INFO Experiment.PerfCost-bfba: Processed 2530 samples out of 10000, 0 errors
